fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes,raw_construction,clean_construction,construction_year_bce,construction_year_ce,construction_century_ce,construction_century_bce,construction_text
18,Ankai Fort,[NO_ALT_NAME],Nashik,Yeola,20.1917,74.45,Ankai,Giri Durg (Hill Fort),961,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,12th Century,Controlled trade routes; has Jain and Hindu caves,Medium,1.5,Winter,Seasonal,Caves,TRUE,Twin fort to Tankai; known for its extensive cave complexes and fortifications.,12th Century,12th century,,,12th Century,unknown,unknown
19,Antur Fort,[NO_ALT_NAME],Chhatrapati Sambhaji Nagar,Kannad,20.4489,75.253,Antur,Giri Durg (Hill Fort),899,Partially Ruined,Maratha Empire,A Maratha Sardar,15th Century,Protected the Gautala Wildlife Sanctuary region,Easy,1,Winter,Unknown,Unknown,FALSE,Known for its scenic location and robust construction.,15th Century,15th century,,,15th Century,unknown,unknown
20,Arjungad,[NO_ALT_NAME],Ratnagiri,Rajapur,16.6341,73.6812,Argaon,Giri Durg (Hill Fort),450,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the route to Rajapur port,Easy,1.5,Winter,Unknown,Unknown,FALSE,A small fort with minimal structures remaining.,Unknown,unknown,,,unknown,unknown,unknown
21,Arnala Fort,[NO_ALT_NAME],Palghar,Vasai,19.4623,72.7386,Arnala,Jal Durg (Sea Fort),5,Partially Ruined,Sultanate of Gujarat; Portuguese; Maratha Empire,Bajirao I (rebuilt),1737,Captured from the Portuguese by Chimaji Appa,Easy,0.5,Winter,Seasonal,Unknown,TRUE,Island fort accessible by ferry from Arnala village.,1737,1737,,1737,18th Century,unknown,unknown
22,Asava,Asawagad,Palghar,Palghar,19.743,73.0019,Kardal,Giri Durg (Hill Fort),580,In Ruins,Shilahara Dynasty,Unknown,Unknown,Guarded the Palghar region,Medium,2.5,Winter,Seasonal,Caves,FALSE,A plateau fort with several water cisterns and remnants of fortifications.,Unknown,unknown,,,unknown,unknown,unknown
23,Asheri Fort,Asherigad,Palghar,Palghar,19.8242,72.915,Khodkona,Giri Durg (Hill Fort),516,Partially Ruined,Shilahara Dynasty,Bhojraja,13th Century,Captured from Portuguese by Marathas in 1737,Medium,2.5,Winter,Seasonal,Caves,FALSE,Offers panoramic views of the Palghar region; has a large plateau.,13th Century,13th century,,,13th Century,unknown,unknown
24,Avandha Fort,Avandha-Patta,Nashik,Sinnar,19.6644,73.8347,Nirgunpada,Giri Durg (Hill Fort),1323,In Ruins,Maratha Empire,Shivaji Maharaj,17th Century,Important fort in the Kalsubai range; surrendered to the British,Medium,3,Winter,Seasonal,Caves,FALSE,A challenging trek with rewarding views of Patta and Kalsubai.,17th Century,17th century,,,17th Century,unknown,unknown
25,Avchitgad,[NO_ALT_NAME],Raigad,Roha,18.435,73.1897,Medha,Giri Durg (Hill Fort),296,Partially Ruined,Shilahara Dynasty,Unknown,12th Century,Strengthened during Nizamshahi period,Easy,1.5,Monsoon; Winter,Year-round in cisterns,Unknown,FALSE,Known for its two main gates and bastions still in good condition.,12th Century,12th century,,,12th Century,unknown,unknown
26,Bahadurgad,[NO_ALT_NAME],Ahilyanagar,Shrigonda,18.7831,74.6508,Pedgaon,Bhuikot (Land Fort),540,In Ruins,Mughal Empire,Aurangzeb,1672,Aurangzeb's major Deccan campaign base; renamed Bahadurgad from Pedgaon,Easy,0.5,Winter,Unknown,Unknown,FALSE,Known for its Bhuleshwar temple and historical significance during Mughal-Maratha wars.,1672,1672,,1672,17th Century,unknown,unknown
27,Bahadurpur,[NO_ALT_NAME],Jalgaon,Parola,20.9833,75.1333,Bahadurpur,Bhuikot (Land Fort),260,In Ruins,Faruqi dynasty,Unknown,15th Century,A land fort guarding the trade routes of Khandesh,Easy,0.5,Winter,Unknown,Unknown,FALSE,Located in Bahadurpur village most of the structure is now gone.,15th Century,15th century,,,15th Century,unknown,unknown
28,Bahadurwadi,[NO_ALT_NAME],Kolhapur,Walva,16.9921,74.3414,Bahadurwadi,Bhuikot (Land Fort),570,In Ruins,Adil Shahi,Unknown,16th Century,A small land fort or 'gadi',Easy,0.5,Winter,Unknown,Unknown,FALSE,Very little remains of the original structure.,16th Century,16th century,,,16th Century,unknown,unknown
29,Bahiravgad,Bhairavgad (Satara),Satara,Patan,17.2001,73.8155,Gudhe,Giri Durg (Hill Fort),1000,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the Koyna valley; known for its deadly exposure,Hard,2,Winter,Unknown,Unknown,FALSE,Extremely difficult and dangerous trek; involves a vertical rock patch.,Unknown,unknown,,,unknown,unknown,unknown
30,Bahula Fort,[NO_ALT_NAME],Nashik,Nashik,19.8459,73.8741,Bahula,Giri Durg (Hill Fort),1073,In Ruins,Yadava Dynasty,Unknown,12th Century,Watchtower fort in the Trimbak range,Easy,1.5,Winter,Unknown,Unknown,FALSE,A lesser-known fort offering solitude and views of Nashik city.,12th Century,12th century,,,12th Century,unknown,unknown
31,Balapur Fort,[NO_ALT_NAME],Akola,Balapur,20.6723,76.7797,Balapur,Bhuikot (Land Fort),268,Partially Ruined,Mughal Empire,Mirza Azam Shah,1721,Strategically located on the banks of Man river,Easy,0.5,Winter,Unknown,Unknown,TRUE,"Features high walls, bastions, and a beautiful chhatri of Mirza Raja Jai Singh.",1721,1721,,1721,18th Century,unknown,unknown
32,Ballalgad,[NO_ALT_NAME],Palghar,Dahanu,19.9547,72.8211,Dahanu,Giri Durg (Hill Fort),150,In Ruins,Maratha Empire,Unknown,18th Century,Watchtower fort near the coast,Easy,1,Winter,Unknown,Unknown,FALSE,A small fort  largely in ruins.,18th Century,18th century,,,18th Century,unknown,unknown
33,Ballalpur Fort,Ballarshah Fort,Chandrapur,Ballarpur,19.851,79.3512,Ballarpur,Bhuikot (Land Fort),192,In Ruins,Gond Kingdom,Khandkya Ballal Shah,13th Century,Capital of the Gond Kingdom before Chandrapur,Easy,0.5,Winter,Unknown,Unknown,TRUE,Located on the east bank of the Wardha River.,13th Century,13th century,,,13th Century,unknown,unknown
34,Balwantgad,[NO_ALT_NAME],Ratnagiri,Khed,17.6538,73.4011,Asgani,Giri Durg (Hill Fort),300,In Ruins,Maratha Empire,Unknown,Unknown,Small fort near Khed,Easy,1,Winter,Unknown,Unknown,FALSE,A small fort with very little historical record.,Unknown,unknown,,,unknown,unknown,unknown
35,Banda Fort,[NO_ALT_NAME],Sindhudurg,Sawantwadi,15.8219,73.8347,Banda,Bhuikot (Land Fort),30,In Ruins,Adil Shahi,Adil Shah,16th Century,Guarded the Terekhol creek crossing,Easy,0.5,Winter,Unknown,Unknown,FALSE,A land fort in the town of Banda  with only a few walls remaining.,16th Century,16th century,,,16th Century,unknown,unknown
36,Bandra Fort,Castella de Aguada,Mumbai Suburban,Bandra,19.0436,72.8198,Bandra,Jal Durg (Sea Fort),20,Partially Ruined,Portuguese,Portuguese,1640,Watchtower at Mahim Bay; captured by Marathas in 1739,Easy,0.2,All Seasons,Unknown,Unknown,FALSE,This is a duplicate entry for Castella de Aguada .,1640,1640,,1640,17th Century,unknown,unknown
37,Bankot Fort,Himmatgad; Fort Victoria,Ratnagiri,Mandangad,17.9868,73.0483,Bankot,Jal Durg (Sea Fort),60,Partially Ruined,Adil Shahi; Maratha Empire,Shivaji Maharaj,16th Century; captured 1660,First fort captured by Shivaji on the Konkan coast,Easy,0.5,Winter,Unknown,Unknown,TRUE,Offers a panoramic view of the Savitri river meeting the Arabian sea.,16th Century; captured 1660,16th century,,,16th Century,unknown,unknown
38,Barvai,[NO_ALT_NAME],Thane,Kalyan,19.2933,73.3444,Barvi,Giri Durg (Hill Fort),350,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort near Barvi Dam,Easy,1.5,Winter,Unknown,Unknown,FALSE,The fort overlooks the Barvi dam and is mostly in a state of ruin.,Unknown,unknown,,,unknown,unknown,unknown
39,Basgad,Bhaskargad,Nashik,Trimbakeshwar,19.7891,73.5414,Baswantpur,Giri Durg (Hill Fort),1086,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort overlooking Harihar and Trimbak range,Medium,2,Winter,Seasonal,Caves,FALSE,Known for its unique rock-cut steps and a small temple.,Unknown,unknown,,,unknown,unknown,unknown
40,Belapur Fort,[NO_ALT_NAME],Thane,Thane,19.0191,73.0369,Belapur,Bhuikot (Land Fort),10,Partially Ruined,Siddi Dynasty; Portuguese; Maratha Empire,Siddis of Janjira,1560-1570,Captured by the Portuguese and later by the Marathas under Chimaji Appa,Easy,0.2,All Seasons,Unknown,Unknown,FALSE,Located near the Panvel creek; now houses government offices.,1560-1570,1560-1570,,1560,16th Century,unknown,unknown
41,Bhadravati Fort,[NO_ALT_NAME],Chandrapur,Bhadravati,20.1084,79.1171,Bhadravati,Bhuikot (Land Fort),211,In Ruins,Gond Kingdom,Yadav Rao,13th Century,Ancient fort also known as Bhandak,Easy,0.5,Winter,Unknown,Unknown,FALSE,Notable for ancient temples and Buddhist caves in the vicinity.,13th Century,13th century,,,13th Century,unknown,unknown
42,Bhagwantgad,[NO_ALT_NAME],Sindhudurg,Vengurla,15.9083,73.5242,Bhonus,Jal Durg (Sea Fort),20,In Ruins,Sawantwadi State,Khem Sawant III,1701,Built to counter the Portuguese at Terekhol,Easy,0.5,Winter,Unknown,Unknown,FALSE,"A small coastal fort, mostly in ruins but offers great sea views.",1701,1701,,1701,18th Century,unknown,unknown
43,Bhairavgad (Kothale),[NO_ALT_NAME],Satara,Patan,17.2001,73.8155,Gudhe,Giri Durg (Hill Fort),1000,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the Koyna valley; known for its deadly exposure,Hard,2,Winter,Unknown,Unknown,FALSE,"This is the Bhairavgad in the Koyna region, famous for its dangerous climb.",Unknown,unknown,,,unknown,unknown,unknown
44,Bhairavgad (Moroshi),[NO_ALT_NAME],Thane,Murbad,19.3086,73.4358,Moroshi,Giri Durg (Hill Fort),1145,Partially Ruined,Maratha Empire,Unknown,17th Century,Watchtower fort in Malshej Ghat region,Hard,3,Winter,Seasonal,Caves,FALSE,"This is the Bhairavgad near Malshej Ghat, known for its unique rock architecture.",17th Century,17th century,,,17th Century,unknown,unknown
45,Bhandardurg,[NO_ALT_NAME],Ahilyanagar,Akole,19.4975,73.6933,Ratanwadi,Giri Durg (Hill Fort),1297,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,The 'Jewel' fort; famous for its 'Nedhe' or Needle Hole,Medium,3,Winter,Year-round,Caves; Temple,FALSE,This is an alternate name for Ratangad .,17th Century,17th century,,,17th Century,unknown,unknown
46,Bhangsimatagad,[NO_ALT_NAME],Nashik,Dindori,20.3712,73.7441,Bhangsi,Giri Durg (Hill Fort),1050,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort for watchtower purposes,Easy,1,Winter,Unknown,Unknown,FALSE,A very obscure fort with almost no remains.,Unknown,unknown,,,unknown,unknown,unknown
47,Bharatgad,[NO_ALT_NAME],Sindhudurg,Malvan,15.8958,73.6816,Masure,Giri Durg (Hill Fort),150,Partially Ruined,Maratha Empire,Shivaji Maharaj,1680,Built to protect the southern borders of the Maratha kingdom,Easy,1,Winter,Year-round well,Temple,FALSE,Sister fort to Bhagwantgad.,1680,1680,,1680,17th Century,unknown,unknown
48,Bhaskargad,Basgad,Nashik,Trimbakeshwar,19.7891,73.5414,Baswantpur,Giri Durg (Hill Fort),1086,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort overlooking Harihar and Trimbak range,Medium,2,Winter,Seasonal,Caves,FALSE,Known for its unique rock-cut steps and a small temple.,Unknown,unknown,,,unknown,unknown,unknown
49,Bhavangad,[NO_ALT_NAME],Palghar,Dahanu,19.9511,73.0336,Waghadi,Giri Durg (Hill Fort),310,In Ruins,Maratha Empire,Unknown,18th Century,Watchtower on the Dahanu-Nashik route,Easy,1,Winter,Unknown,Unknown,FALSE,A small and simple fort trek.,18th Century,18th century,,,18th Century,unknown,unknown
50,Bhilai Fort,[NO_ALT_NAME],Chandrapur,Brahmapuri,20.6125,79.8512,Bhilai,Bhuikot (Land Fort),225,In Ruins,Gond Kingdom,Gond Kings,Unknown,Ancient Gond fort,Easy,0.5,Winter,Unknown,Unknown,FALSE,An obscure fort with mostly earthen ramparts remaining.,Unknown,unknown,,,unknown,unknown,unknown
51,Bhivgad,[NO_ALT_NAME],Raigad,Karjat,18.9015,73.2844,Gaurkamat,Giri Durg (Hill Fort),360,In Ruins,Maratha Empire,Unknown,Unknown,Small fort near Karjat,Easy,1,Monsoon; Winter,Unknown,Unknown,FALSE,A small and easy trek offering views of Dhak Bahiri and Peb forts.,Unknown,unknown,,,unknown,unknown,unknown
52,Bhorgad,Dehergad,Nashik,Surguna,20.4815,73.7126,Hatrundi,Giri Durg (Hill Fort),1128,In Ruins,Maratha Empire,Unknown,17th Century,Watchtower fort in the Selbari range,Medium,2,Winter,Unknown,Unknown,FALSE,A lesser-known fort with excellent views of the surrounding ranges.,17th Century,17th century,,,17th Century,unknown,unknown
53,Bhorgiri,[NO_ALT_NAME],Pune,Khed,19.0622,73.7313,Bhorgiri,Giri Durg (Hill Fort),850,In Ruins,Unknown,Unknown,Ancient,Known for its caves and proximity to Bhimashankar,Easy,1.5,Monsoon; Winter,Seasonal,Caves; Temple,FALSE,More of a pilgrimage site with caves and minor fortifications.,Ancient,ancient,,,unknown,unknown,ancient
54,Bhudargad,[NO_ALT_NAME],Kolhapur,Bhudargad,16.1772,74.0935,Palej,Giri Durg (Hill Fort),978,Partially Ruined,Shilahara Dynasty,Raja Bhoj II,12th Century,Important administrative center for the region,Easy,1,Post-Monsoon,Year-round,Temple,FALSE,A vast fort with several temples and administrative buildings.,12th Century,12th century,,,12th Century,unknown,unknown
55,Bhupalgad,[NO_ALT_NAME],Sangli,Khanapur,17.4816,74.9086,Bhupalgad,Giri Durg (Hill Fort),910,In Ruins,Maratha Empire,Shivaji Maharaj,1670s,Destroyed by Sambhaji Maharaj in a campaign against the Mughals,Easy,1,Winter,Seasonal,Temple,FALSE,This is a different fort from Bhupatgad (Palghar).,1670s,1670s,,1670,17th Century,unknown,unknown
56,Bhupatgad,[NO_ALT_NAME],Palghar,Jawhar,19.988,73.1895,Chirwatpada,Giri Durg (Hill Fort),625,In Ruins,Maratha Empire,Shivaji Maharaj,17th Century,Built to watch over the northern Konkan region,Medium,2,Winter,Seasonal,Caves,FALSE,Features several water cisterns and remnants of structures.,17th Century,17th century,,,17th Century,unknown,unknown
57,Bhushangad,[NO_ALT_NAME],Satara,Khatav,17.7958,74.3855,Bhushangadwadi,Giri Durg (Hill Fort),927,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,A guardian fort for the eastern frontiers of Swarajya,Easy,0.5,Winter,Year-round,Maruti Temple,FALSE,Features a temple of Maruti and a large well.,17th Century,17th century,,,17th Century,unknown,unknown
58,Birwadi Fort,[NO_ALT_NAME],Raigad,Mahad,18.2227,73.3985,Birwadi,Giri Durg (Hill Fort),160,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Watchtower fort near Raigad,Easy,1,Monsoon; Winter,Seasonal,Unknown,FALSE,A small fort good for beginner trekkers.,17th Century,17th century,,,17th Century,unknown,unknown
59,Bishta,[NO_ALT_NAME],Jalgaon,Chopda,21.3142,75.1811,Bishta,Bhuikot (Land Fort),200,In Ruins,Faruqi dynasty,Unknown,Unknown,A small fortified settlement or 'gadi',Easy,0.5,Winter,Unknown,Unknown,FALSE,Hardly any structure remains today.,Unknown,unknown,,,unknown,unknown,unknown
60,Bitangad,[NO_ALT_NAME],Nashik,Igatpuri,19.6644,73.8188,Bitangwadi,Giri Durg (Hill Fort),1067,In Ruins,Maratha Empire,Unknown,17th Century,Small fort used as a watchtower,Easy,1.5,Winter,Seasonal,Unknown,FALSE,"Trek is easy and offers views of Kalsubai, Alang, and Madan.",17th Century,17th century,,,17th Century,unknown,unknown
61,Bombay Castle,[NO_ALT_NAME],Mumbai City,Fort,18.9327,72.8378,Mumbai,Bhuikot (Land Fort),11,Well-Preserved,Portuguese; British East India Company,Garcia de Orta (manor),1554; fortified c. 1720,Headquarters of the British East India Company in Bombay,Easy,0.2,All Seasons,Not applicable,Unknown,FALSE,"Located within the premises of INS Angre, the naval base of the Western Naval Command. Access is restricted.",1554; fortified c. 1720,1554,,1554,16th Century,unknown,unknown
62,Brahmagiri,Bhandardurg,Nashik,Trimbakeshwar,19.937,73.5359,Trimbak,Giri Durg (Hill Fort),1298,Partially Ruined,Yadava Dynasty,Unknown,12th Century,Source of the Godavari River; a major pilgrimage site,Easy,2,Monsoon; Winter,Available,Unknown,FALSE,More of a pilgrimage site with fortifications; features Ganga-Godavari temple.,12th Century,12th century,,,12th Century,unknown,unknown
63,Castella de Aguada,Bandra Fort,Mumbai Suburban,Bandra,19.0436,72.8198,Bandra,Jal Durg (Sea Fort),20,Partially Ruined,Portuguese,Portuguese,1640,Watchtower at Mahim Bay; captured by Marathas in 1739,Easy,0.2,All Seasons,Unknown,Unknown,FALSE,Popular landmark in Bandra; offers views of the Bandra-Worli Sea Link.,1640,1640,,1640,17th Century,unknown,unknown
64,Chambhargad,[NO_ALT_NAME],Satara,Patan,17.2514,73.9125,Chambharwadi,Giri Durg (Hill Fort),950,In Ruins,Maratha Empire,Unknown,Unknown,A small fort known for its rock-cut cave,Easy,1,Winter,Unknown,Cave,FALSE,A lesser-known fort offering views of the Koyna backwaters.,Unknown,unknown,,,unknown,unknown,unknown
65,Chandan Fort,[NO_ALT_NAME],Satara,Satara,17.8447,73.9669,Kikali,Giri Durg (Hill Fort),1082,In Ruins,Shilahara Dynasty,Bhoj II,12th Century,Twin fort to Vandan; captured by Shivaji Maharaj,Easy,1.5,Winter,Seasonal,Mosque; Temple,FALSE,The trek usually covers both Chandan and Vandan forts together.,12th Century,12th century,,,12th Century,unknown,unknown
66,Chanderi,[NO_ALT_NAME],Raigad,Karjat,19.0558,73.2208,Vangani,Giri Durg (Hill Fort),800,Pinnacle,Maratha Empire,Shivaji Maharaj,Unknown,A watchtower fort between Badlapur and Vangani,Medium,3,Winter,Seasonal,Caves,FALSE,A popular trek known for its huge pinnacle and caves.,Unknown,unknown,,,unknown,unknown,unknown
67,Chandragad,Dhavalgad,Pune,Mulshi,18.3583,73.5186,Dhawale,Giri Durg (Hill Fort),1189,In Ruins,Maratha Empire,Shivaji Maharaj,17th Century,Overlooks the backwaters of Varasgaon dam,Medium,3,Winter,Seasonal,Caves; Temple,FALSE,A remote fort with a hidden escape route (chor darwaja).,17th Century,17th century,,,17th Century,unknown,unknown
68,Chandwad Fort,[NO_ALT_NAME],Nashik,Chandwad,20.3308,74.2255,Chandwad,Giri Durg (Hill Fort),1020,In Ruins,Yadava Dynasty,Dridhaprahara,9th Century,Known for Rangmahal palace and ancient temples,Easy,1,Winter,Unknown,Unknown,FALSE,Fort is located above the town of Chandwad.,9th Century,9th century,,,9th Century,unknown,unknown
69,Chaughan Fort,[NO_ALT_NAME],Nashik,Satana,20.6553,74.0761,Chaughan,Giri Durg (Hill Fort),1230,In Ruins,Maratha Empire,Unknown,Unknown,Part of the Satmala hill range,Medium,2,Winter,Unknown,Unknown,FALSE,A less-frequented fort with remnants of fortifications.,Unknown,unknown,,,unknown,unknown,unknown
70,Chaulher Fort,Chauragad,Nashik,Satana,20.735,74.0989,Chaulher,Giri Durg (Hill Fort),1123,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Known for its difficult access and strong fortifications,Medium,2.5,Winter,Seasonal,Caves,FALSE,"Features a large plateau and a narrow, rock-cut approach.",17th Century,17th century,,,17th Century,unknown,unknown
71,Chavand Fort,Prasannagad,Pune,Junnar,19.2311,73.7439,Chavandwadi,Giri Durg (Hill Fort),1036,Partially Ruined,Satavahana Dynasty,Satavahanas,2nd Century,One of the five forts of Junnar region; has a Saptamatrika plaque,Easy,1.5,Winter,Year-round,Temple; Caves,FALSE,The fort was renamed Prasannagad by Shivaji Maharaj.,2nd Century,2nd century,,,2nd Century,unknown,unknown
72,Danda Fort,Korlai Fort,Raigad,Murud,18.5333,72.9,Korlai,Jal Durg (Sea Fort),90,Partially Ruined,Portuguese,Portuguese,1521,Guarded the Revdanda creek,Easy,1,Winter,Unknown,Lighthouse,TRUE,"This likely refers to Korlai Fort , located near Danda-Rajpuri creek.",1521,1521,,1521,16th Century,unknown,unknown
73,Dasgaon Fort,[NO_ALT_NAME],Raigad,Mahad,18.0917,73.3833,Dasgaon,Giri Durg (Hill Fort),150,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the Savitri River creek,Easy,0.5,Winter,Unknown,Unknown,FALSE,Located on a small hillock near the village of Dasgaon.,Unknown,unknown,,,unknown,unknown,unknown
